1,-138.73443603515625
2,-332.88311767578125
3,-351.2854919433594
4,-430.6143493652344
5,-129.66726684570312
6,-229.0971221923828
7,-120.05976104736328
8,-114.20404052734375
9,-108.09139251708984
10,-111.71659088134766
11,-114.1259536743164
12,-101.73086547851562
13,-211.3708953857422
14,-107.52316284179688
15,-104.36665344238281
16,-105.54593658447266
17,-315.3224792480469
18,-551.070068359375
19,-103.24577331542969
20,-114.54410552978516
21,-227.01625061035156
22,-207.1403350830078
23,-307.6238708496094
24,-308.18682861328125
25,-230.5259552001953
26,-100.97632598876953
27,-352.4158020019531
28,-112.06819152832031
29,-124.1611557006836
30,-125.72066497802734
31,-120.08863067626953
32,-124.23260498046875
33,-116.30683135986328
34,-216.9918670654297
35,-112.67838287353516
36,-109.97555541992188
37,-114.90332794189453
38,-119.66590118408203
39,-117.47329711914062
40,-117.66471862792969
41,-126.14411163330078
42,-126.400146484375
43,-115.9291763305664
44,-117.12306213378906
45,-121.86370849609375
46,-134.05747985839844
47,-132.7487335205078
48,-129.55003356933594
49,-122.80574035644531
50,-129.93673706054688
51,-243.52894592285156
52,-123.71012878417969
53,-130.54933166503906
54,-132.135498046875
55,-134.58291625976562
56,-130.40121459960938
57,-145.51551818847656
58,-141.94284057617188
59,-133.59091186523438
60,-128.29190063476562
61,-132.463134765625
62,-137.051025390625
63,-128.32911682128906
64,-246.49095153808594
65,-129.0911865234375
66,-129.8448028564453
67,-129.17955017089844
68,-132.70521545410156
69,-127.98529815673828
70,-479.1512145996094
71,-133.24134826660156
72,-125.8536376953125
73,-135.00933837890625
74,-248.6285858154297
75,-135.30487060546875
76,-137.07716369628906
77,-137.3074493408203
78,-140.6216278076172
79,-146.89776611328125
80,-124.65743255615234
81,-137.81129455566406
82,-150.46690368652344
83,-146.87234497070312
84,-144.9750213623047
85,-155.4366455078125
86,-274.535400390625
87,-481.7131042480469
88,-284.44317626953125
89,-160.29869079589844
90,-156.23483276367188
91,-159.02232360839844
92,-156.04660034179688
93,-164.11575317382812
94,-168.06539916992188
95,-161.8787384033203
96,-161.2700653076172
97,-166.04869079589844
98,-163.5411834716797
99,-166.52340698242188
100,-174.90809631347656
